Sample	Species	Reference	Total_Reads	Mapped_Reads	Percent_Mapped	Mean_Depth	Breadth_1x	Breadth_5x	Breadth_10x	Mean_MapQ	Genome_Size
ALB046_FJ_20170823_L1	ALB	thunnus_albacares_ref	44809	44809	100.00	0.00	0.39	0.00	0.00	36.79	792134391
ALB105_NA_20201125_L2	ALB	thunnus_albacares_ref	670936	670936	100.00	0.06	5.40	0.03	0.00	36.67	792134391
ALB134_IO_20230430_L2	ALB	thunnus_albacares_ref	46481	46481	100.00	0.00	0.42	0.00	0.00	38.99	792134391
ALB135_IO_20230523_L2	ALB	thunnus_albacares_ref	29201	29201	100.00	0.00	0.31	0.00	0.00	36.13	792134391
ALB192_HI_20220323_L2	ALB	thunnus_albacares_ref	354193	354193	100.00	0.03	2.60	0.00	0.00	36.23	792134391
ALB193_HI_20220419_L2	ALB	thunnus_albacares_ref	46983	46983	100.00	0.00	0.49	0.00	0.00	36.50	792134391
ALB209_HI_20220419_L2	ALB	thunnus_albacares_ref	13898	13898	100.00	0.00	0.13	0.00	0.00	36.73	792134391
ALB225_HI_20220401_L2	ALB	thunnus_albacares_ref	39898	39898	100.00	0.00	0.28	0.00	0.00	36.49	792134391
ALB255_HI_20220408_L2	ALB	thunnus_albacares_ref	40175	40175	100.00	0.00	0.45	0.00	0.00	36.76	792134391
ALB256_HI_20220408_L2	ALB	thunnus_albacares_ref	9640	9640	100.00	0.00	0.10	0.00	0.00	36.48	792134391
ALB265_HI_20220411_L2	ALB	thunnus_albacares_ref	46335	46335	100.00	0.00	0.46	0.00	0.00	37.13	792134391
ALB551_HI_20220415_L2	ALB	thunnus_albacares_ref	79513	79513	100.00	0.01	0.68	0.00	0.00	35.80	792134391
ALB554_HI_20220415_L2	ALB	thunnus_albacares_ref	26482	26482	100.00	0.00	0.22	0.00	0.00	35.37	792134391
ALB555_HI_20220415_L2	ALB	thunnus_albacares_ref	19313	19313	100.00	0.00	0.19	0.00	0.00	36.89	792134391
ALB558_HI_20220415_L2	ALB	thunnus_albacares_ref	61803	61803	100.00	0.01	0.49	0.00	0.00	36.03	792134391
ALB_HLA_HI_214	ALB	thunnus_albacares_ref	905924	905924	100.00	0.11	9.71	0.00	0.00	38.89	792134391
ALB_HLA_HI_219	ALB	thunnus_albacares_ref	2018634	2018634	100.00	0.27	22.51	0.01	0.00	39.32	792134391
ALB_HLA_HI_265	ALB	thunnus_albacares_ref	2414104	2414104	100.00	0.30	24.70	0.01	0.00	39.65	792134391
ALB_HLA_HI_549	ALB	thunnus_albacares_ref	678845	678845	100.00	0.08	7.14	0.00	0.00	38.79	792134391
ALB_HLA_HI_550	ALB	thunnus_albacares_ref	153892	153892	100.00	0.02	1.79	0.00	0.00	39.06	792134391
ALB_HLA_HI_552	ALB	thunnus_albacares_ref	52159	52159	100.00	0.01	0.61	0.00	0.00	38.70	792134391
ALB_WCPFC_FJ_36	ALB	thunnus_albacares_ref	24185	24185	100.00	0.00	0.30	0.00	0.00	38.89	792134391
ALB_WCPFC_NC_54	ALB	thunnus_albacares_ref	419395	419395	100.00	0.05	4.95	0.00	0.00	39.11	792134391
ALB_WCPFC_NC_55	ALB	thunnus_albacares_ref	1221710	1221710	100.00	0.16	14.46	0.00	0.00	39.30	792134391
ALB_WCPFC_NC_67	ALB	thunnus_albacares_ref	232765	232765	100.00	0.03	2.75	0.00	0.00	39.10	792134391
ALB_WCPFC_NC_72	ALB	thunnus_albacares_ref	891157	891157	100.00	0.12	10.90	0.00	0.00	38.94	792134391
ALB_WCPFC_NC_74	ALB	thunnus_albacares_ref	1125337	1125337	100.00	0.14	12.37	0.01	0.00	39.41	792134391
ALB_WCPFC_NC_81	ALB	thunnus_albacares_ref	366103	366103	100.00	0.04	3.93	0.00	0.00	39.32	792134391
ALB_WCPFC_NC_84	ALB	thunnus_albacares_ref	933966	933966	100.00	0.12	10.87	0.00	0.00	38.92	792134391
BE211_HI_20220330_L2	BE2	thunnus_albacares_ref	653155	653155	100.00	0.07	6.53	0.00	0.00	37.94	792134391
BET009_PA_20240811_L1	BET	thunnus_albacares_ref	589595	589595	100.00	0.05	5.01	0.00	0.00	37.32	792134391
BET077_IO_20230311_L1	BET	thunnus_albacares_ref	155499	155499	100.00	0.02	1.49	0.00	0.00	37.31	792134391
BET078_IO_20230311_L1	BET	thunnus_albacares_ref	139509	139509	100.00	0.01	1.24	0.00	0.00	37.19	792134391
BET079_IO_20230315_L1	BET	thunnus_albacares_ref	244197	244197	100.00	0.02	2.20	0.00	0.00	37.28	792134391
BET080_IO_20230315_L1	BET	thunnus_albacares_ref	303859	303859	100.00	0.03	2.75	0.00	0.00	37.35	792134391
BET081_IO_20230315_L1	BET	thunnus_albacares_ref	2692801	2692801	100.00	0.22	18.61	0.01	0.00	38.35	792134391
BET082_IO_20230316_L1	BET	thunnus_albacares_ref	323422	323422	100.00	0.03	2.62	0.00	0.00	37.43	792134391
BET083_IO_20230316_L1	BET	thunnus_albacares_ref	1074080	1074080	100.00	0.10	9.75	0.00	0.00	37.80	792134391
BET084_IO_20230316_L1	BET	thunnus_albacares_ref	243965	243965	100.00	0.02	2.01	0.00	0.00	37.26	792134391
BET112_IO_20230423_L1	BET	thunnus_albacares_ref	161881	161881	100.00	0.01	1.43	0.00	0.00	37.22	792134391
BET113_IO_20230425_L1	BET	thunnus_albacares_ref	74396	74396	100.00	0.01	0.62	0.00	0.00	37.33	792134391
BET114_IO_20230425_L1	BET	thunnus_albacares_ref	113334	113334	100.00	0.01	0.77	0.00	0.00	37.90	792134391
BET115_IO_20230425_L1	BET	thunnus_albacares_ref	5509990	5509990	100.00	0.51	37.29	0.08	0.00	37.35	792134391
BET116_IO_20230425_L1	BET	thunnus_albacares_ref	4153054	4153054	100.00	0.34	27.32	0.02	0.00	38.26	792134391
BET117_IO_20230425_L1	BET	thunnus_albacares_ref	5568581	5568581	100.00	0.50	35.39	0.14	0.00	37.49	792134391
